CSS Property,TestThemeHook,FilterToggle,FilterGroup,ChatInput,ChatMessage,ChatMessages,QAChat,ChatDialog,Accordion,AccordionList,BasicLayout,GridItem,Grid,ImageCard,TextCard,VideoCard,Link,LinkList,GridLayout,ProgressIndicator,Callout,ProgressToast,RainDrops,Avatar,Icon,Subheader,Indicator,TagList,IconRefresh,Tag,List,McpText,Weather,WeatherIcon,WeatherDebugPanel,IconButton,Button,GemButton,PromptButton,CanvasAnimation,AnimatedTextPath,AnimatedTextPathSpag,TopNav,ChatTrigger,VideoTile,Footer,FooterTitle,Experience,Introduction,Process,Details,Intro,Header,ImageGrid,Fresha,Principles,Title,Image,Root,Section,Shell,Prefix,AnimatedBackground,Text,TestTwo,TestThree,TestOne
-moz-osx-font-smoothing,,,,,,,,,,,,,,,,,,,,".bracket-left,
  .bracket-right,
  .step-number: grayscale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-ms-overflow-style,,,.filter-group: none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-webkit-align-items,,,,,,,,,,,,,,,,,,,,.progress-container: center | .indicator: center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-webkit-appearance,,,,,,,,,button: none,,,,,,,.cover-video: none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-webkit-flex-direction,,,,,,,,,,,,,,,,,,,,.progress-container: row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-webkit-font-smoothing,,,,,,,,,,,,,,,,,,,,".bracket-left,
  .bracket-right,
  .step-number: antialiased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-webkit-justify-content,,,,,,,,,,,,,,,,,,,,.progress-container: center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-webkit-media-controls,,,,,,,,,,,,,,,,.cover-video: none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-webkit-media-controls-panel,,,,,,,,,,,,,,,,.cover-video: none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-webkit-media-controls-play-button,,,,,,,,,,,,,,,,.cover-video: none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-webkit-media-controls-start-playback-button,,,,,,,,,,,,,,,,.cover-video: none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-webkit-transform,,,,,,,,,,,,,,,,,,,,.indicator: translateZ(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
align-content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.section-root: center,,,,,,,
align-items,,.filter-toggle: center,,,.message: flex-start | .user-content: flex-end | .message-avatar: center | .loading-message: flex-start | .error-content: flex-start,,,.chat-dialog[open]: flex-end,.wrapper: flex-start | button: center | .label: baseline,,.basic-layout-top-bar: center,,,,.tag-container: center,.video-card: flex-end | .play-indicator: center,,,,.progress-container: center | .indicator: center | .bridge: center,.callout-root: center,.progress-toast: center | .progress-content: center | .progress-dots: center,,.avatar: center,.icon-missing: center,,,.tag-list--align-start: flex-start | .tag-list--align-center: center | .tag-list--align-end: flex-end,,.tag: center,.list__item--structured: baseline,.flex-container: center,.location-info-root: flex-start | .weather-state-container: center | .weather-icon-slot: center | .weather-content: flex-start | .weather-action-slot: center,,.debug-header: center | .state-item: center,,.btn: center | .btn-layout: center,,.prompt-btn: center,".canvas-container: center | .loading,
  .error: center",,,nav: center | .left: center | .name-and-links: flex-start | .right: center,.chat-trigger: center,.subject-tag: center | .duration-info: center,.footer-section-root: flex-end | .dialog-completion-message: center,.footer-title-root: flex-start,,,,.title: center | li: center,,.dialog-header: center,,,,section: flex-start,,,,,.prefix-root: flex-start | .image-container: center,,.dialog-text-section: flex-start | .dialog-text-section-content: flex-start,,,
align-self,,,,,,,,,,,,,,,,.tag-container: flex-start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animation,,,,,,,,.chat-dialog: fadeIn 0.4s ease-in-out | .chat-dialog::backdrop: backdropFadeIn 0.5s ease-in-out,,,,,,,,,,,,,,.progress-dot.current .dot-inner: pulse 1.5s ease-in-out infinite | .progress-dot.visited.animated .dot-inner: fillDot 0.4s ease-out forwards,,.glitch-active .avatar-image: glitch-pulse 2s ease-in-out infinite,,,.indicator--pulse: none,,,,,,.loading-state .weather-icon-slot :global(svg): pulse 2s ease-in-out infinite,,,.btn :global(.loading-icon): spin 1s linear infinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appearance,,,,,,,,,button: none,,,,,,,.cover-video: none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
